,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-103a-1,0,12034,25834,11681,11604,13669,7469,800,20460,173,356,3016,281,6004,17439,6220,17060,1365,2643,9,17669,2293,36,9804,7328,12104,14564,6902,18502,8714
hsa-mir-103a-1*,0,12034,25834,11681,11604,13669,7469,800,20460,173,356,3016,281,6004,17439,6220,17060,1365,2643,9,17669,2293,36,9804,7328,12104,14564,6902,18502,8714
hsa-mir-3912,0,11,31,0,0,40,11,0,15,0,0,0,0,10,36,0,30,0,7,0,0,0,0,30,15,22,22,0,21,13
hsa-mir-340,481,0,7223,2712,0,0,0,0,3159,0,0,0,86,356,0,568,3339,0,0,0,0,442,0,1845,0,0,3926,0,1981,1032
hsa-mir-5690,0,25,18,16,6,21,21,0,35,0,0,0,0,0,28,0,23,0,7,0,10,0,0,8,13,18,19,0,12,0
hsa-mir-30c-2,2018,7873,9012,5258,5506,7855,5523,338,8367,226,256,1026,208,1927,8409,4391,9484,393,963,9,10996,1629,23,7288,9488,8518,10503,2535,15510,5045
hsa-mir-30a,22,0,72,0,69,152,67,19,0,0,0,1749,0,49,0,0,125,11,0,0,84,0,0,0,97,43,0,0,2853,0
hsa-mir-339,247,587,962,545,1181,982,531,45,1106,25,24,181,16,646,1199,372,695,38,265,0,929,73,0,1402,367,368,372,177,1963,632
hsa-mir-589,104,381,638,408,511,305,361,41,475,10,10,152,0,136,375,461,734,35,107,0,474,59,0,515,232,558,709,128,725,508
hsa-mir-148a,2016,44178,94125,19345,55979,25473,37492,1206,20513,1308,2984,5047,1287,2260,20114,10242,116467,3355,3961,75,73036,11432,204,25762,89684,49871,48578,28286,36716,0
hsa-mir-196b,9,0,5,0,9,0,0,0,0,0,0,0,0,6,0,0,16,0,0,0,9,0,0,0,0,9,10,0,0,0
